time	x_accel	y_accel	drivepw	str_pw
149	2817	-1557	0	0
158	5	3	0	0
168	1	-1	0	0
177	-3	-1	0	0
186	-3	3	0	0
196	-3	3	0	0
205	1	3	0	0
214	-3	-1	0	0
224	-3	3	0	0
233	5	-1	0	0
242	-11	7	0	0
252	5	-1	0	0
261	-3	3	0	0
270	-3	-1	0	0
280	-11	-5	0	0
289	1	-5	2665	2760
298	-7	-1	2665	2760
308	1	-5	2741	2760
317	1	-5	2665	2760
327	-3	-1	2665	2760
336	5	-1	2741	2760
345	1	3	2741	2760
355	13	-5	2817	2760
364	-15	-33	2665	2760
374	-11	-5	2133	2760
383	41	39	2665	2760
393	77	143	3296	2350
402	-23	151	3450	1990
412	-55	127	3450	2990
421	125	-41	3450	3310
431	117	11	1500	1510
440	-75	-41	2384	1590
450	-55	-5	1606	3450
459	-155	-45	2390	3310
469	-51	35	1500	3450
479	-31	83	3205	3270
488	-75	171	3450	3070
498	-95	7	3450	3450
507	-35	-9	2425	3450
516	-87	55	2414	3110
526	-67	39	3370	3450
535	-79	35	3166	3430
545	-75	31	3065	3450
554	-75	35	3005	3450
564	-71	67	3085	3450
573	-83	63	3450	3450
583	-83	15	3450	3450
592	-51	-21	2645	3450
602	-71	59	2106	3270
611	-51	19	3450	3450
621	-99	55	2866	3270
630	-103	83	3310	3450
640	-71	95	3450	3450
649	-71	27	3450	3450
659	-67	-5	2945	3450
668	-79	55	2330	3430
678	-83	51	3410	3450
687	-91	63	3314	3450
697	-87	111	3450	3450
706	-87	83	3450	3450
716	-75	71	3450	3450
725	-91	11	3450	3450
735	-99	15	2525	3450
744	-83	75	2550	3450
754	-83	87	3450	3450
763	-99	151	3450	3450
773	-75	91	3450	3450
782	-95	103	3450	3450
792	-79	83	3450	3450
801	-87	103	3450	3450
811	-87	111	3450	3450
821	-83	95	3450	3450
830	-79	107	3450	3450
840	-83	107	3450	3450
849	-55	115	3450	3450
859	-83	139	3450	3310
868	-79	87	3450	3450
877	-59	127	3450	3450
887	-63	131	3450	3350
897	-71	123	3450	3390
906	-55	119	3450	3450
916	-43	127	3450	3310
925	-71	139	3450	3190
935	-47	139	3450	3450
944	-63	127	3450	3230
954	-55	139	3450	3390
963	-63	135	3450	3310
973	-71	143	3450	3390
982	-63	123	3450	3450
992	-63	143	3450	3390
1001	-51	143	3450	3390
1011	-51	139	3450	3270
1020	-51	139	3450	3270
1030	-55	135	3450	3270
1039	-59	139	3450	3310
1049	-55	139	3450	3350
1058	-51	143	3450	3310
1068	-59	135	3450	3270
1077	-43	131	3450	3350
1087	-51	139	3450	3190
1096	-47	155	3450	3270
1106	-55	159	3450	3230
1115	-59	135	3450	3310
1125	-39	151	3450	3350
1134	-59	143	3450	3150
1144	-119	51	3450	3350
1153	-55	91	3185	3450
1163	-23	135	3450	3310
1172	-63	155	3450	2990
1182	-59	139	3450	3390
1191	-47	127	3450	3350
1201	-39	143	3450	3230
1210	-11	171	3450	3150
1220	-15	63	1500	2760
1229	-11	131	3450	2760
1239	-3	147	3450	2760
1248	9	147	3450	2760
1257	-27	103	3450	2760
1267	-23	207	3450	3030
1277	-15	-1	1500	2990
1286	-47	147	2741	2760
1296	-31	155	3450	3230
1305	17	115	3450	3070
1315	-11	147	3450	2760
1324	-19	175	3450	2760
1334	-11	3	1500	2760
1343	-7	143	2817	2760
1353	-15	203	3450	2760
1362	9	19	1500	2760
1371	-11	135	3121	2760
1381	-7	199	3450	2760
1391	-11	75	1500	2760
1400	-3	99	3450	2760
1409	-15	159	3450	2760
1419	-27	111	3450	2760
1429	-15	103	3450	3030
1438	-19	111	3450	2760
1448	9	167	3450	2760
1457	-15	11	1500	2760
1467	-3	115	2969	2760
1476	25	171	3450	2760
1486	1	35	1500	2510
1495	-15	107	3425	2760
1505	5	143	3450	2760
1514	-23	167	3450	2760
1524	45	135	3450	2990
1533	25	99	3450	2310
1543	-15	123	3450	2510
1552	-15	79	3450	2760
1562	37	103	3450	2760
1571	-7	119	3450	2390
1581	-3	147	3450	2760
1590	13	119	3450	2760
1600	5	107	3450	2760
1609	-35	95	3450	2760
1619	-39	171	3450	3110
1628	-35	67	3450	3150
1638	-19	99	3450	3110
1647	-39	71	3450	2760
1657	-35	63	3450	3150
1666	-43	195	3450	3110
1676	17	11	1500	3190
1685	-7	107	2969	2760
1695	-7	127	3450	2760
1704	17	91	3450	2760
1713	-3	123	3450	2760
1723	-7	67	3450	2760
1732	25	-9	3450	2760
1742	-15	-61	2455	2510
1751	-15	99	1601	2760
1761	-15	71	3450	2760
1770	9	147	3450	2760
1780	-51	79	3450	2760
1789	-51	-13	3450	3270
1799	-23	-69	2245	3270
1809	-39	67	1500	2990
1818	-19	71	3450	3150
1828	-35	167	3450	2760
1837	-11	91	3450	3110
1847	45	59	3450	2760
1856	29	-53	3450	2310
1866	17	-157	1555	2470
1875	17	31	1500	2760
1885	9	23	3349	2760
1894	105	3	3197	2760
1903	9	-9	2292	1710
1913	9	11	2589	2760
1922	25	27	2969	2760
1932	29	47	3148	2510
1941	33	79	3450	2470
1951	29	99	3450	2430
1960	-19	87	3450	2470
1970	-15	-93	3450	2760
1979	49	-241	1500	2760
1989	13	-5	1500	2270
1998	57	-25	2665	2760
2008	-27	-81	2000	2190
2018	-3	-53	1500	3030
2027	9	-81	1700	2760
2036	81	-73	1500	2760
2046	21	-173	1500	1950
2056	-31	55	1500	2550
2065	13	223	3450	3070
2075	1	-149	1500	2760
2084	13	3	1500	2760
2093	93	307	2820	2760
2103	37	31	1500	1830
2112	21	83	3164	2390
2122	45	139	3450	2550
2131	-3	59	3450	2310
2141	17	51	3450	2760
2150	-3	55	3450	2760
2160	-23	43	3450	2760
2169	33	155	3450	2990
2179	33	19	3450	2430
2188	33	-105	2975	2430
2198	1	-5	1500	2430
2207	9	3	2665	2760
2217	-11	7	2817	2760
2226	17	11	2893	2760
2236	9	7	2969	2760
2245	29	7	2893	2760
2255	21	7	2748	2470
2264	9	7	2788	2550
2274	17	3	2893	2760
2283	17	7	2817	2760
2292	25	-1	2886	2760
2302	21	7	2617	2510
2311	13	7	2781	2550
2321	29	11	2886	2760
2330	17	19	2802	2470
2340	-3	3	3045	2760
2349	9	3	2802	2760
2359	25	7	2799	2760
2368	-7	7	2726	2510
2378	17	-5	2851	2760
2387	13	7	2695	2760
2396	9	7	2851	2760
2406	13	7	2851	2760
2415	9	7	2851	2760
2425	13	7	2851	2760
2434	9	7	2851	2760
2444	13	11	2851	2760
2453	13	11	2903	2760
2462	13	11	2903	2760
2472	-3	7	2903	2760
2481	9	7	2851	2760
2491	5	3	2851	2760
2500	9	3	2799	2760
2510	9	7	2799	2760
2519	13	7	2851	2760
2529	5	11	2851	2760
2538	9	11	2903	2760
2547	9	7	2903	2760
2557	5	7	2851	2760
2566	13	7	2851	2760
2576	25	19	2851	2760
